ProteinId	GeneName	Description	intensities_LFQ.intensity.1_hu_C1	imputed_LFQ.intensity.1_hu_C1	intensities_LFQ.intensity.2_hu_P1	imputed_LFQ.intensity.2_hu_P1	intensities_LFQ.intensity.3_hu_C2	imputed_LFQ.intensity.3_hu_C2	intensities_LFQ.intensity.4_hu_P2	imputed_LFQ.intensity.4_hu_P2	intensities_LFQ.intensity.5_hu_C3	imputed_LFQ.intensity.5_hu_C3	intensities_LFQ.intensity.6_hu_P3	imputed_LFQ.intensity.6_hu_P3	AveExpr	t	adj.P.Val	logFC AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	CI.L AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	CI.R AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	P.Value AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	adj.P.Val AZD8931_resistant_SKBR3_AZDRc - Parental_SKBR3	NImputed: AZD8931_resistant_SKBR3_AZDRc	NImputed: Parental_SKBR3	NReplicates: AZD8931_resistant_SKBR3_AZDRc	NReplicates: Parental_SKBR3
O00267			20.5218879199982	1	22.2253804471505	0	20.5951704522679	1	20.2895924528696	1	20.8760221350615	1	21.9047757234376	0	21.0688048551309	-1.48158056801617	0.225664919178244	-0.808889372043389	-2.13158403595499	0.513805291868209	0.186963930623521	0.225664919178244	3	1	3	3
O00273			21.7144047809746	1	22.5320286394407	0	22.456810600097	0	22.6178225566789	0	22.3144571197712	0	22.8389976705665	0	22.4124202279215	-1.7826962564602	0.156480484776902	-0.501058788614419	-1.18095269644075	0.178835119211914	0.122557481132634	0.156480484776902	1	0	3	3
O00299			26.5645492304237	0	27.0145691350002	0	26.4358552601874	0	27.626309499124	0	27.0224219997753	0	26.580896610309	0	26.8741002891366	-1.37256700951655	0.257289131212697	-0.399649584682237	-1.10505949265978	0.305760323295304	0.217048862502499	0.257289131212697	0	0	3	3
O00303			24.828518490141	0	24.0265646412577	0	24.6535426820871	0	23.9308470414067	0	24.7890519976109	0	24.072347225107	0	24.3834786796017	5.69715789280708	0.00266347868994157	0.747118087355833	0.429897903208257	1.06433827150341	0.00106796488533889	0.00266347868994157	0	0	3	3
O00330			20.8234917708307	1	24.30305773484	0	19.6773246205687	1	24.5695844657815	0	20.6456970403347	1	24.6404179464294	0	22.4432622631308	-11.5140930660086	0.000160878522729257	-4.12218223843894	-4.98835227518308	-3.2560122016948	1.83611357462739e-05	0.000160878522729257	3	0	3	3
O00410			25.6238004636379	0	25.2718459740904	0	25.5010292807608	0	25.2567030948448	0	25.4816380908912	0	25.0596557148772	0	25.3657787698504	2.94631247340364	0.039151362867653	0.339421017159157	0.0607513208417592	0.618090713476556	0.0243041069009344	0.039151362867653	0	0	3	3
O00429			21.602350326028	1	23.4374594990541	0	21.3627407681359	1	23.5795737491347	0	20.7183235750766	1	23.3187932313393	0	22.3365401914614	-7.43986042088769	0.000827006187357848	-2.21747060342923	-2.93845007868684	-1.49649112817161	0.000241210137979372	0.000827006187357848	3	0	3	3
O00487			25.6996470043406	0	24.0070156288529	0	25.6328680993981	0	23.8665567711077	0	25.7294375689838	0	24.3821859930583	0	24.8862851776236	9.8838594400918	0.000260101224879717	1.6020647599012	1.20997696372693	1.99415255607547	4.56938775243277e-05	0.000260101224879717	0	0	3	3
O00499			23.4084686525279	0	20.6533842836291	1	23.4855433775617	0	20.8683381683892	1	23.4523679437294	0	20.7697783795597	1	22.1063134675662	12.5777393249152	0.000121999802981491	2.68495971408028	2.16858495872714	3.20133446943341	1.06823498987417e-05	0.000121999802981491	0	3	3	3
O00505			23.5630221302394	0	22.4675717206018	0	22.9735999813275	0	22.7968935600191	0	23.5793435624504	0	22.4425557988189	0	22.9704977922428	2.96399231623563	0.0384095630429226	0.802981531525834	0.147654169806144	1.45830889324552	0.0237370040268236	0.0384095630429226	0	0	3	3
O00515			20.3728113291219	1	24.8568084748116	0	20.7600244364042	1	25.0080849097018	0	19.0138586460586	1	25.2627004915414	0	22.5457147146066	-10.4359051752361	0.000220112146316063	-4.99363315482335	-6.15289690555018	-3.83436940409653	3.45002989558517e-05	0.000220112146316063	3	0	3	3
O00541			19.7296489988641	1	20.4683022426709	1	21.2270188497416	1	20.2679750596256	1	20.9016439099298	1	21.4192315625239	1									3	3	3	3
O00567			23.1659932465926	0	24.0453524010545	0	23.4047060570964	0	24.1010927664742	0	23.3003369184145	0	23.5756555718409	0	23.5988561602455	-2.80943179767556	0.0456906415638988	-0.617021505755353	-1.14828702015425	-0.0857559913564572	0.0292188341885077	0.0456906415638988	0	0	3	3
O00571			25.6623171987404	0	25.0947452355178	0	25.5075161753044	0	25.1014134188155	0	25.6206999648688	0	25.1221044188794	0	25.3514660686877	4.79103697273525	0.00571121879548002	0.490756755233594	0.242976564963302	0.738536945503886	0.00265290903654797	0.00571121879548002	0	0	3	3
